,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
267,34.13552,-118.20721999999999,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,56911.117195269246
268,34.075559999999996,-118.20738999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17901.41579213785
269,34.04435,-118.20738999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17785.0118409225
270,34.04397,-118.20745,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32172.186683168806
271,34.13767,-118.20748,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,59863.05020313361
272,34.04466,-118.2079,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,37849.45814662457
273,34.05113,-118.20795,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32261.65464825902
274,34.045629999999996,-118.20806,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17180.06264280407
275,34.11248,-118.20826000000001,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,20548.550808009175
276,34.04169,-118.20835,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35808.88415614913
277,34.13414,-118.20837,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,29973.013762170936
278,34.091770000000004,-118.20845,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,60735.19761725301
279,34.04495,-118.20867,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,17410.160639933973
280,34.04274,-118.20871000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32927.725735991255
281,34.07524,-118.2088,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18148.34940826891
282,34.045770000000005,-118.20886000000002,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,26354.415004653158
283,34.074690000000004,-118.20942,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,20307.631947295515
284,34.07607,-118.20947,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,63231.693768899946
285,34.09626,-118.20962,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18369.462218706478
