Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T3-80x30-S2-GS_Existing10,0.195080023,0.604933389,0.982578883,1.17002459,1.183554975
Building_T3-80x30-S3-GS_Existing1,0.147325038,0.457780173,0.672030065,0.733998512,0.735934364
Building_T3-80x30-S3-GS_Existing2,0.145161547,0.482727018,0.773664535,0.895622863,0.902798464
Building_T3-80x30-S3-GS_Existing3,0.234377702,0.656525219,0.976835083,1.02444571,1.026314065
Building_T3-80x30-S3-GS_Existing4,0.157938459,0.493473178,0.793956202,0.905014666,0.923717079
Building_T3-80x30-S3-GS_Existing5,0.120813642,0.35806862,0.527363649,0.554490465,0.554490465
Building_T3-80x30-S3-GS_Existing6,0.161318937,0.504951857,0.708516971,0.752402436,0.753806608
Building_T3-80x30-S3-GS_Existing7,0.183746348,0.531534217,0.741088518,0.760487044,0.763835419
Building_T3-80x30-S3-GS_Existing8,0.20175048,0.590984459,0.924377595,1.056324373,1.060356846
Building_T3-80x30-S3-GS_Existing9,0.115138386,0.326305484,0.513313392,0.562712493,0.56586883
Building_T3-80x30-S3-GS_Existing10,0.124404308,0.430747929,0.670426637,0.750404231,0.756820624
Building_T3-50x30-S2-PS_Existing1,0.194222778,0.585228214,1.016290665,1.330264861,1.450595645
Building_T3-50x30-S2-PS_Existing2,0.144825,0.479541945,0.796409136,1.029336479,1.094601615
Building_T3-50x30-S2-PS_Existing3,0.144915525,0.455853213,0.747873166,0.930712198,0.964292458
Building_T3-50x30-S2-PS_Existing4,0.164853085,0.47680913,0.877027121,1.171762162,1.329197664
Building_T3-50x30-S2-PS_Existing5,0.131474462,0.335251396,0.564290275,0.717181366,0.756640315
Building_T3-50x30-S2-PS_Existing6,0.243280827,0.681893515,1.144939677,1.517924292,1.659572603
Building_T3-50x30-S2-PS_Existing7,0.17341418,0.501663556,0.919568268,1.216503002,1.353466138
Building_T3-50x30-S2-PS_Existing8,0.254711266,0.684361036,1.141978142,1.442611172,1.512839498
Building_T3-50x30-S2-PS_Existing9,0.137903424,0.445664184,0.745246353,0.95215481,0.999468817
Building_T3-50x30-S2-PS_Existing10,0.192045984,0.557667726,0.902937113,1.16063756,1.229411618
Building_T3-50x30-S3-PS_Existing1,0.13789157,0.427328185,0.77105545,1.018783808,1.107319006
Building_T3-50x30-S3-PS_Existing2,0.119540683,0.38115384,0.696453909,0.895679454,0.939994763
Building_T3-50x30-S3-PS_Existing3,0.138257152,0.456523091,0.760519776,0.941563063,0.995545721
Building_T3-50x30-S3-PS_Existing4,0.117213398,0.368882901,0.690837833,0.92079968,1.004267638
Building_T3-50x30-S3-PS_Existing5,0.152263824,0.449947519,0.737479867,0.883811447,0.902756271
Building_T3-50x30-S3-PS_Existing6,0.193191777,0.519488212,0.865706213,1.101853691,1.168787335
Building_T3-50x30-S3-PS_Existing7,0.129145191,0.412942472,0.611677423,0.750113066,0.766912591
Building_T3-50x30-S3-PS_Existing8,0.136093201,0.472972501,0.854062071,1.105200197,1.190868992
Building_T3-50x30-S3-PS_Existing9,0.163105532,0.50087687,0.824526027,1.035035654,1.08838995
Building_T3-50x30-S3-PS_Existing10,0.115445454,0.302491235,0.492996487,0.590851128,0.608077754
Building_T3-80x30-S2-PS_Existing1,0.149822503,0.469298099,0.828151179,1.162949721,1.313930205
Building_T3-80x30-S2-PS_Existing2,0.130360302,0.359525724,0.582733154,0.726791938,0.747478584
Building_T3-80x30-S2-PS_Existing3,0.13189935,0.445764767,0.754755085,0.988448624,1.047473982
Building_T3-80x30-S2-PS_Existing4,0.13319339,0.445958238,0.780747845,1.096392033,1.241733992
Building_T3-80x30-S2-PS_Existing5,0.132527421,0.416569356,0.716809765,0.964484072,1.032345351
Building_T3-80x30-S2-PS_Existing6,0.154062511,0.500685149,0.867544878,1.225421394,1.409107755
Building_T3-80x30-S2-PS_Existing7,0.125801622,0.335476357,0.588748503,0.802852708,0.868755377
Building_T3-80x30-S2-PS_Existing8,0.155341637,0.494736398,0.904574553,1.279028607,1.501724542
Building_T3-80x30-S2-PS_Existing9,0.120003252,0.398600138,0.736747655,1.026934426,1.164305724
Building_T3-80x30-S2-PS_Existing10,0.138539517,0.363833718,0.655436786,0.900503233,0.989719113
Building_T3-80x30-S3-PS_Existing1,0.080748954,0.221806795,0.380793041,0.458650668,0.477914775
Building_T3-80x30-S3-PS_Existing2,0.13834014,0.42769921,0.74331342,0.968927278,1.060280667
Building_T3-80x30-S3-PS_Existing3,0.159332207,0.497672857,0.783755448,1.009974716,1.0659709
Building_T3-80x30-S3-PS_Existing4,0.123015546,0.395594042,0.698133512,0.943861754,1.065415787
Building_T3-80x30-S3-PS_Existing5,0.128349391,0.401958948,0.659358334,0.844501762,0.919824842
Building_T3-80x30-S3-PS_Existing6,0.108350674,0.280123395,0.477784886,0.600435241,0.638133362
Building_T3-80x30-S3-PS_Existing7,0.078416111,0.266900813,0.472381152,0.556880315,0.577707814
