,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-100x30-S3-GS_Variated10_2,1,220.0,0.9062113954545454,0.00882883,0.00288288,0.0565676,0.006277273801757974
Building_T1-100x30-S3-GS_Variated10_3,1,220.0,0.83551875,0.00938739,0.00437838,0.0516667,0.005849271349710017
Building_T1-100x30-S3-GS_Variated10_4,1,220.0,0.9916218909090911,0.00835135,0.00392793,0.0561441,0.006019143653411963
Building_T1-100x30-S3-GS_Variated10_5,1,220.0,1.1108153863636363,0.0115946,0.00744144,0.0511351,0.008611953093620403
Building_T1-60x30-S2-PS_Variated1_1,1,136.0,0.7330414779411766,0.0126216,0.00846847,0.0786036,0.00607799026775597
Building_T1-60x30-S2-PS_Variated1_2,1,136.0,0.5281955588235294,0.0128559,0.00597297,0.0981712,0.005234288529136805
Building_T1-60x30-S2-PS_Variated1_3,1,136.0,0.5877408676470589,0.0113333,0.00430631,0.0853063,0.005186381058730462
Building_T1-60x30-S2-PS_Variated1_4,1,136.0,0.5339186088235295,0.0104234,0.00587387,0.0852793,0.004008042932810612
Building_T1-60x30-S2-PS_Variated1_5,1,136.0,0.5784770294117647,0.0125946,0.00782883,0.0774865,0.005030722985691173
Building_T1-60x30-S2-PS_Variated2_1,1,142.0,0.7348655845070422,0.0134775,0.0086036,0.0918829,0.006728199896573491
Building_T1-60x30-S2-PS_Variated2_2,1,142.0,0.6150343197183097,0.0108829,0.0060991,0.0835135,0.004823989896508002
Building_T1-60x30-S2-PS_Variated2_3,1,142.0,0.7108051901408451,0.0138559,0.0093964,0.099991,0.0064707594553642354
Building_T1-60x30-S2-PS_Variated2_4,1,142.0,0.5590127816901409,0.0132703,0.00762162,0.099991,0.0053405335588663574
Building_T1-60x30-S2-PS_Variated2_5,1,142.0,0,0,0,0,0
Building_T1-60x30-S2-PS_Variated3_1,1,157.0,0.5308652929936306,0.0123694,0.00774775,0.0813423,0.004536932033749499
