,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost,existing fatality,optimized fatality,ordinance
1840,33.73215,-118.2915,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,35561.40447,0.003612492,0.003612492,0.002875049
1841,33.72152,-118.29163,3,L3,GWB,50X30,4500,L3-3S-50X30-GWB,4,25459.92752,0.00322872,0.00322872,0.002614066
1842,33.72108,-118.29164,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,19236.85079,0.00329887,0.00329887,0.002667375
1843,33.70761,-118.29165,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,19154.81117,0.002999178,0.002999178,0.002252912
1844,33.71125,-118.29166,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,58341.99069,0.00293044,0.00293044,0.002214653
1845,33.70812,-118.29166,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,21200.43566,0.003025269,0.003025269,0.002270711
1846,33.71967,-118.29167,2,L1,HWS,100X30,6000,L1-2S-100X30-HWS,6,33829.71178,0.003277557,0.003277557,0.002640827
1847,33.71028,-118.29167,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,18504.59694,0.002920584,0.002920584,0.002204006
1848,33.71059,-118.29174,3,L3,GWB,80X30,7200,L3-3S-80X30-GWB,7,38557.05034,0.002942236,0.002942236,0.002202016
1849,33.72995,-118.29179,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,53322.63597,0.003535185,0.003535185,0.00283881
1850,33.72087,-118.2918,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,19629.30452,0.00332431,0.00332431,0.002687687
1851,33.73487,-118.29182,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,33541.96134,0.003715589,0.003715589,0.002948079
1852,33.71678,-118.29182,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,19464.83041,0.003118861,0.003118861,0.002405644
1853,33.70848,-118.29182,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,28478.16965,0.002992752,0.002992752,0.002214301
1854,33.70812,-118.29182,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,37899.72377,0.003013085,0.003013085,0.002255511
1855,34.02312,-118.29192,2,L1,HWS,100X30,6000,L1-2S-100X30-HWS,6,34658.63696,0.010223048,0.010223048,0.008834129
1856,33.70873,-118.29195,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,27361.4489,0.003007717,0.003007717,0.002244554
1857,34.10563,-118.29207,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,55899.94081,0.010924285,0.010924285,0.009463916
1858,34.11062,-118.2921,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,18747.08134,0.010840888,0.010840888,0.009469885
